,relation_id,case_lawyer,case,lawyer,case_id,lawyer_id
23357,rcase_lawyer_46272,"('5df58025ab936e46149911f1', '关立君')",5df58025ab936e46149911f1,关立君,case_38244,lawyer_5780
23358,rcase_lawyer_46275,"('5df563b9ab936e4614986c7e', '郭康')",5df563b9ab936e4614986c7e,郭康,case_38247,lawyer_5725
23359,rcase_lawyer_46276,"('5df563b9ab936e4614986c7e', '关立君')",5df563b9ab936e4614986c7e,关立君,case_38247,lawyer_5780
23360,rcase_lawyer_46278,"('5ee07bda3edbe71b2f992d80', '郭康')",5ee07bda3edbe71b2f992d80,郭康,case_38249,lawyer_5725
23361,rcase_lawyer_46279,"('5ee07bda3edbe71b2f992d80', '关立君')",5ee07bda3edbe71b2f992d80,关立君,case_38249,lawyer_5780
23362,rcase_lawyer_46281,"('5e24524047825900472ce6f2', '郭康')",5e24524047825900472ce6f2,郭康,case_38251,lawyer_5725
23363,rcase_lawyer_46282,"('5e24524047825900472ce6f2', '关立君')",5e24524047825900472ce6f2,关立君,case_38251,lawyer_5780
23364,rcase_lawyer_46284,"('5df56d3cab936e461498acd8', '郭康')",5df56d3cab936e461498acd8,郭康,case_38253,lawyer_5725
23365,rcase_lawyer_46285,"('5df56d3cab936e461498acd8', '关立君')",5df56d3cab936e461498acd8,关立君,case_38253,lawyer_5780
23366,rcase_lawyer_46286,"('5df55b04ab936e4614982eb5', '郭康')",5df55b04ab936e4614982eb5,郭康,case_38254,lawyer_5725
